distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
961.2500,0.2213,56.6664,0.0533,0.1500,0.7024,274.8821,9.0786
962.5000,0.2200,74.0087,0.0416,0.1474,0.6426,273.9755,9.7090
963.7500,0.1996,121.7284,0.0350,0.0999,0.5444,269.1070,11.1118
965.0000,0.1704,100.6271,0.0353,0.0981,0.5800,264.9062,10.8684
966.2500,0.1653,89.9582,0.0405,0.0961,0.6021,264.9924,10.6084
967.5000,0.1500,78.4936,0.0353,0.1232,0.6301,263.8077,10.3750
968.7500,0.1577,72.0423,0.0439,0.1150,0.6484,266.0875,10.0721
970.0000,0.2276,37.0075,0.0885,0.1597,0.8096,276.3769,8.1193
971.2500,0.3014,58.2155,0.0703,0.1548,0.6961,280.4068,8.8232
972.5000,0.3026,107.7594,0.0427,0.1310,0.5669,283.7330,10.1264
973.7500,0.2798,137.4670,0.0410,0.1006,0.5227,281.7668,10.8112
975.0000,0.3700,118.5125,0.0881,0.0753,0.5492,291.4021,10.0182
976.2500,0.5226,146.0320,0.0793,0.0949,0.5123,307.1812,9.8673
977.5000,0.6523,167.9298,0.0870,0.0915,0.4890,318.8938,9.7382
978.7500,0.7833,169.7066,0.0926,0.1022,0.4873,327.0438,9.4529
980.0000,0.9499,131.1829,0.1023,0.1420,0.5309,328.2692,8.8069
981.2500,1.0465,170.5047,0.0834,0.1479,0.4865,339.7613,9.0017
982.5000,1.0987,262.6817,0.0621,0.1354,0.4212,353.7154,9.4587
983.7500,1.1152,395.1583,0.0511,0.1097,0.3676,364.3026,9.9330
985.0000,1.1890,260.0328,0.0741,0.1234,0.4227,357.5054,9.3030
986.2500,1.2449,562.7334,0.0464,0.0955,0.3268,378.7068,10.1058
987.5000,1.1419,634.1189,0.0356,0.1000,0.3140,375.6488,10.4537
988.7500,1.1355,280.8063,0.0536,0.1493,0.4120,357.1310,9.4793
990.0000,1.0796,266.4270,0.0607,0.1354,0.4193,353.1701,9.5086
991.2500,1.1203,555.0935,0.0502,0.0804,0.3283,371.8002,10.3391
