# Exported by snowmicropyn 1.2.1 (git hash 25c665906cd9d26085fa9eab6ba842a7f4b41101)
distance [mm],force [N]
3.6157,0.0547
3.6198,0.0585
3.6240,0.0572
3.6281,0.0547
3.6322,0.0521
3.6364,0.0547
3.6405,0.0572
3.6446,0.0572
3.6488,0.0585
3.6529,0.0547
3.6570,0.0496
3.6612,0.0547
3.6653,0.0585
3.6694,0.0560
3.6736,0.0509
3.6777,0.0560
3.6818,0.0534
3.6860,0.0572
3.6901,0.0585
3.6942,0.0521
3.6983,0.0534
3.7025,0.0534
3.7066,0.0534
3.7107,0.0560
3.7149,0.0547
3.7190,0.0598
3.7231,0.0572
3.7273,0.0547
3.7314,0.0560
3.7355,0.0572
3.7397,0.0547
3.7438,0.0585
3.7479,0.0572
3.7521,0.0534
3.7562,0.0521
3.7603,0.0547
3.7645,0.0547
3.7686,0.0560
3.7727,0.0534
3.7769,0.0534
3.7810,0.0547
3.7851,0.0585
3.7893,0.0585
3.7934,0.0585
3.7975,0.0547
3.8017,0.0547
3.8058,0.0534
3.8099,0.0534
3.8140,0.0560
3.8182,0.0534
3.8223,0.0521
3.8264,0.0547
3.8306,0.0572
3.8347,0.0598
3.8388,0.0521
3.8430,0.0534
3.8471,0.0521
3.8512,0.0572
3.8554,0.0572
3.8595,0.0547
3.8636,0.0534
3.8678,0.0496
3.8719,0.0496
3.8760,0.0521
3.8802,0.0610
3.8843,0.0572
3.8884,0.0521
3.8926,0.0534
3.8967,0.0534
3.9008,0.0547
3.9050,0.0585
3.9091,0.0572
3.9132,0.0534
3.9174,0.0560
3.9215,0.0585
3.9256,0.0534
3.9298,0.0572
3.9339,0.0585
3.9380,0.0547
3.9421,0.0585
3.9463,0.0496
3.9504,0.0483
3.9545,0.0585
3.9587,0.0661
3.9628,0.0598
3.9669,0.0547
3.9711,0.0547
3.9752,0.0547
3.9793,0.0534
3.9835,0.0534
3.9876,0.0560
3.9917,0.0610
3.9959,0.0572
4.0000,0.0534
4.0041,0.0509
4.0083,0.0509
4.0124,0.0547
4.0165,0.0560
4.0207,0.0623
4.0248,0.0560
4.0289,0.0521
4.0331,0.0534
4.0372,0.0521
4.0413,0.0521
4.0455,0.0534
4.0496,0.0560
4.0537,0.0585
4.0579,0.0598
4.0620,0.0560
4.0661,0.0521
4.0702,0.0496
4.0744,0.0560
4.0785,0.0560
4.0826,0.0572
4.0868,0.0598
4.0909,0.0547
4.0950,0.0547
4.0992,0.0534
4.1033,0.0547
4.1074,0.0547
4.1116,0.0547
4.1157,0.0572
4.1198,0.0534
4.1240,0.0598
4.1281,0.0572
4.1322,0.0534
4.1364,0.0534
4.1405,0.0560
4.1446,0.0534
4.1488,0.0547
4.1529,0.0547
4.1570,0.0521
4.1612,0.0560
4.1653,0.0585
4.1694,0.0547
4.1736,0.0534
4.1777,0.0521
4.1818,0.0509
4.1860,0.0560
4.1901,0.0547
4.1942,0.0547
4.1983,0.0509
4.2025,0.0598
4.2066,0.0560
4.2107,0.0509
4.2149,0.0560
4.2190,0.0547
4.2231,0.0509
4.2273,0.0585
4.2314,0.0572
4.2355,0.0572
4.2397,0.0585
4.2438,0.0560
4.2479,0.0534
4.2521,0.0560
4.2562,0.0534
4.2603,0.0560
4.2645,0.0560
4.2686,0.0547
4.2727,0.0560
4.2769,0.0547
4.2810,0.0572
4.2851,0.0509
4.2893,0.0572
4.2934,0.0585
4.2975,0.0547
4.3017,0.0534
4.3058,0.0521
4.3099,0.0496
4.3140,0.0496
4.3182,0.0560
4.3223,0.0572
4.3264,0.0585
4.3306,0.0572
4.3347,0.0534
4.3388,0.0496
4.3430,0.0521
4.3471,0.0560
4.3512,0.0560
4.3554,0.0560
4.3595,0.0560
4.3636,0.0509
4.3678,0.0483
4.3719,0.0521
4.3760,0.0547
4.3802,0.0560
4.3843,0.0572
4.3884,0.0598
4.3926,0.0560
4.3967,0.0534
4.4008,0.0509
4.4050,0.0521
4.4091,0.0547
4.4132,0.0534
4.4174,0.0598
4.4215,0.0585
4.4256,0.0560
4.4298,0.0585
4.4339,0.0521
4.4380,0.0547
4.4421,0.0534
4.4463,0.0547
4.4504,0.0547
4.4545,0.0547
4.4587,0.0547
4.4628,0.0560
4.4669,0.0521
4.4711,0.0534
4.4752,0.0560
4.4793,0.0610
4.4835,0.0585
4.4876,0.0560
4.4917,0.0560
4.4959,0.0560
4.5000,0.0534
4.5041,0.0509
4.5083,0.0534
4.5124,0.0572
4.5165,0.0509
4.5207,0.0572
4.5248,0.0534
4.5289,0.0509
4.5331,0.0598
4.5372,0.0534
4.5413,0.0509
4.5455,0.0560
4.5496,0.0521
4.5537,0.0547
4.5579,0.0547
4.5620,0.0560
4.5661,0.0572
4.5702,0.0560
4.5744,0.0534
4.5785,0.0572
4.5826,0.0598
4.5868,0.0547
4.5909,0.0534
4.5950,0.0509
4.5992,0.0521
4.6033,0.0521
4.6074,0.0521
4.6116,0.0585
4.6157,0.0560
4.6198,0.0560
4.6240,0.0585
4.6281,0.0547
4.6322,0.0585
4.6364,0.0547
4.6405,0.0534
4.6446,0.0496
4.6488,0.0534
4.6529,0.0521
4.6570,0.0534
4.6612,0.0534
4.6653,0.0534
4.6694,0.0521
4.6736,0.0521
4.6777,0.0521
4.6818,0.0585
4.6860,0.0572
4.6901,0.0547
4.6942,0.0585
4.6983,0.0572
4.7025,0.0534
4.7066,0.0547
4.7107,0.0534
4.7149,0.0547
4.7190,0.0521
4.7231,0.0534
4.7273,0.0585
4.7314,0.0534
4.7355,0.0585
4.7397,0.0560
4.7438,0.0560
4.7479,0.0610
4.7521,0.0509
4.7562,0.0560
4.7603,0.0560
4.7645,0.0547
4.7686,0.0560
4.7727,0.0547
4.7769,0.0547
4.7810,0.0585
4.7851,0.0534
4.7893,0.0572
4.7934,0.0585
4.7975,0.0547
4.8017,0.0572
4.8058,0.0547
4.8099,0.0521
4.8140,0.0534
4.8182,0.0521
4.8223,0.0598
4.8264,0.0572
4.8306,0.0572
4.8347,0.0585
4.8388,0.0547
4.8430,0.0547
4.8471,0.0521
4.8512,0.0560
4.8554,0.0585
4.8595,0.0521
