distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
961.2500,0.1615,29.6217,0.0593,0.1920,0.8719,278.0454,7.8443
962.5000,0.1717,39.6955,0.0561,0.1578,0.7909,274.3237,8.4809
963.7500,0.2467,49.0828,0.0831,0.1241,0.7368,276.7592,8.6559
965.0000,0.2772,72.3260,0.0573,0.1395,0.6475,279.5967,9.3717
966.2500,0.2747,91.9718,0.0532,0.1166,0.5977,280.0437,9.9157
967.5000,0.2569,24.1463,0.1004,0.2263,0.9334,276.2525,7.2090
968.7500,0.1844,12.9006,0.1121,0.2953,1.1503,287.3341,6.1108
970.0000,0.1704,23.1722,0.0785,0.2143,0.9463,281.1800,7.2804
971.2500,0.1717,24.3534,0.0718,0.2179,0.9307,280.4125,7.3834
972.5000,0.1946,43.3051,0.0646,0.1437,0.7682,274.5155,8.5828
973.7500,0.2352,32.6375,0.0839,0.1762,0.8442,276.7073,7.8384
975.0000,0.2225,43.4187,0.0725,0.1495,0.7676,275.7700,8.4786
976.2500,0.2085,82.9325,0.0513,0.1019,0.6186,272.1825,10.0568
977.5000,0.2314,57.6183,0.0596,0.1439,0.6985,275.6347,9.0699
978.7500,0.2403,33.8682,0.0749,0.2058,0.8338,276.6828,7.9007
980.0000,0.1768,17.5580,0.1007,0.2331,1.0380,284.4010,6.7013
981.2500,0.1755,54.1679,0.0635,0.1068,0.7130,271.2887,9.2107
982.5000,0.1984,25.7052,0.0951,0.1808,0.9141,278.4930,7.4363
983.7500,0.2340,27.3367,0.0998,0.1973,0.8956,277.0152,7.4863
985.0000,0.2022,34.0816,0.0842,0.1695,0.8321,276.3907,8.0219
986.2500,0.1818,47.6873,0.0628,0.1376,0.7439,272.9922,8.8668
987.5000,0.1602,39.1699,0.0867,0.1043,0.7944,274.0470,8.5024
988.7500,0.1729,34.8359,0.1154,0.0983,0.8260,275.8730,8.1724
990.0000,0.2988,52.7096,0.0975,0.1254,0.7195,279.6993,8.6300
991.2500,0.3357,65.3590,0.0724,0.1523,0.6697,283.3575,8.9442
992.5000,0.3382,102.4786,0.0560,0.1244,0.5765,287.1211,9.8524
993.7500,0.3370,86.4040,0.0558,0.1465,0.6102,285.7101,9.5036
995.0000,0.3192,123.8861,0.0467,0.1150,0.5412,286.3437,10.3488
996.2500,0.3217,142.5285,0.0491,0.0963,0.5165,287.4412,10.6444
997.5000,0.3408,71.0722,0.0610,0.1648,0.6513,284.4078,9.0943
998.7500,0.3497,35.2100,0.0808,0.2620,0.8231,277.6848,7.7456
1000.0000,0.2950,30.5231,0.0888,0.2374,0.8632,276.3313,7.5824
1001.2500,0.2492,79.3323,0.0467,0.1383,0.6279,277.0732,9.7112
1002.5000,0.2505,85.3432,0.0533,0.1146,0.6128,277.2416,9.8728
1003.7500,0.2454,81.5290,0.0526,0.1236,0.6222,276.6646,9.7945
1005.0000,0.3293,39.0147,0.0873,0.1951,0.7954,278.4998,7.9706
1006.2500,0.3688,85.0539,0.0638,0.1363,0.6134,288.1253,9.3558
1007.5000,0.3026,70.7788,0.0673,0.1286,0.6522,281.5876,9.2223
1008.7500,0.2327,40.8045,0.0886,0.1365,0.7836,276.3008,8.3099
1010.0000,0.2009,41.8328,0.0698,0.1468,0.7771,275.0357,8.4782
1011.2500,0.2098,33.1617,0.0861,0.1673,0.8397,276.5988,7.9402
1012.5000,0.2505,39.7084,0.0891,0.1524,0.7908,276.8401,8.1982
1013.7500,0.2518,46.3246,0.0799,0.1391,0.7512,276.9875,8.5152
1015.0000,0.1831,29.8852,0.0915,0.1402,0.8693,277.5564,7.7951
1016.2500,0.1717,50.6855,0.0815,0.0923,0.7290,271.6302,9.0690
1017.5000,0.2391,65.2383,0.0629,0.1241,0.6702,276.1170,9.3155
1018.7500,0.3217,66.7126,0.0862,0.1185,0.6652,282.5982,9.0315
1020.0000,0.3077,63.5302,0.0829,0.1283,0.6761,281.3285,8.9801
1021.2500,0.2696,72.2608,0.0647,0.1232,0.6477,278.9240,9.4032
1022.5000,0.3154,97.5384,0.0634,0.1071,0.5861,284.5464,9.8487
1023.7500,0.2950,82.7089,0.0705,0.1018,0.6192,281.7169,9.5847
1025.0000,0.2950,73.0744,0.0674,0.1216,0.6453,281.1410,9.3195
1026.2500,0.3433,20.5200,0.1378,0.2689,0.9854,271.0699,6.8324
1027.5000,0.3421,21.0036,0.1425,0.2531,0.9778,271.4376,6.8715
1028.7500,0.3103,67.9026,0.0618,0.1494,0.6613,281.9157,9.1078
1030.0000,0.2899,58.0391,0.0711,0.1507,0.6968,279.6905,8.8557
1031.2500,0.4336,48.4675,0.1397,0.1377,0.7399,283.9926,8.1523
1032.5000,0.4959,45.7688,0.1139,0.1953,0.7542,284.5023,7.9526
1033.7500,0.4781,64.9800,0.0803,0.1853,0.6710,290.7962,8.5659
1035.0000,0.4705,40.3407,0.0848,0.2880,0.7866,281.3697,7.7866
1036.2500,0.3904,19.5234,0.1247,0.3349,1.0019,267.9744,6.7218
1037.5000,0.3828,46.1258,0.1018,0.1675,0.7522,281.7320,8.1650
1038.7500,0.2950,53.2175,0.1100,0.1105,0.7172,279.5534,8.6613
1040.0000,0.1946,49.5542,0.0743,0.1181,0.7345,273.5580,8.8949
1041.2500,0.3077,25.9650,0.1149,0.2129,0.9111,274.9425,7.2696
1042.5000,0.3955,36.5583,0.0941,0.2448,0.8129,278.6131,7.7355
1043.7500,0.4985,44.6918,0.1089,0.2066,0.7602,284.0445,7.9106
1045.0000,0.5671,51.3822,0.0893,0.2515,0.7257,288.8802,8.0296
1046.2500,0.5430,27.9479,0.0933,0.4135,0.8890,272.5725,7.1486
1047.5000,0.3942,60.1410,0.0784,0.1769,0.6886,285.7067,8.6204
1048.7500,0.3281,55.3079,0.0824,0.1552,0.7081,281.5279,8.6383
1050.0000,0.5226,43.0294,0.2164,0.1252,0.7699,283.6523,7.8167
1051.2500,0.6485,48.6871,0.1449,0.1942,0.7388,289.2868,7.8437
1052.5000,0.5214,55.3380,0.1210,0.1647,0.7079,289.2687,8.2177
1053.7500,0.4972,113.5982,0.0701,0.1261,0.5570,301.3494,9.4956
1055.0000,0.5226,74.0495,0.0756,0.1938,0.6424,295.2930,8.6934
1056.2500,0.5442,77.9727,0.0735,0.2023,0.6315,297.3467,8.7343
1057.5000,0.5201,54.7736,0.0869,0.2356,0.7104,289.0079,8.2032
1058.7500,0.4896,46.6366,0.0921,0.2352,0.7495,284.7518,7.9927
1060.0000,0.5061,82.8778,0.0749,0.1652,0.6188,296.5714,8.9205
1061.2500,0.6333,118.5031,0.0736,0.1459,0.5492,310.7052,9.2235
1062.5000,0.5900,75.7345,0.0939,0.1668,0.6376,298.7904,8.5984
1063.7500,0.5315,39.6058,0.1074,0.2623,0.7915,281.7929,7.6773
1065.0000,0.4947,40.7607,0.1139,0.2263,0.7839,281.9585,7.7695
1066.2500,0.4044,90.3677,0.0497,0.1838,0.6012,291.4593,9.3552
1067.5000,0.4654,58.8407,0.0738,0.2228,0.6936,288.4807,8.4225
1068.7500,0.4387,59.7536,0.0876,0.1774,0.6901,287.6402,8.5052
1070.0000,0.3586,57.9031,0.0657,0.1958,0.6973,283.5031,8.6417
1071.2500,0.3522,54.6381,0.0678,0.1993,0.7110,282.5881,8.5484
1072.5000,0.3662,112.7554,0.0422,0.1574,0.5584,290.5861,9.9323
1073.7500,0.3739,64.7634,0.0546,0.2174,0.6718,285.5495,8.8124
1075.0000,0.3789,59.9708,0.0614,0.2089,0.6892,284.9206,8.6540
1076.2500,0.4209,46.7792,0.0770,0.2360,0.7487,283.0380,8.1150
1077.5000,0.4082,36.3151,0.0831,0.2718,0.8147,278.6283,7.7046
1078.7500,0.3929,58.0113,0.0621,0.2115,0.6969,285.1724,8.5574
1080.0000,0.3955,85.8414,0.0543,0.1675,0.6116,290.2017,9.2853
1081.2500,0.4349,124.2481,0.0552,0.1289,0.5406,297.7975,9.8610
1082.5000,0.4794,48.0990,0.0884,0.2240,0.7418,285.1275,8.0593
1083.7500,0.3853,33.8830,0.0985,0.2558,0.8337,277.3743,7.6215
1085.0000,0.4705,67.6798,0.0924,0.1511,0.6620,291.1666,8.6524
1086.2500,0.5697,33.1965,0.1415,0.2457,0.8394,277.3665,7.3740
1087.5000,0.5913,33.4073,0.1351,0.2669,0.8377,277.5835,7.3634
1088.7500,0.6027,113.5709,0.0655,0.1606,0.5571,308.0791,9.2238
1090.0000,0.6307,168.7213,0.0640,0.1191,0.4882,317.5244,9.8025
1091.2500,0.6282,70.8072,0.0897,0.1977,0.6521,298.7273,8.4278
1092.5000,0.6015,94.2017,0.0743,0.1742,0.5929,304.1225,8.9240
1093.7500,0.8215,73.6961,0.1122,0.1991,0.6435,306.2846,8.2132
1095.0000,1.0135,220.9354,0.0508,0.1836,0.4463,345.2712,9.3842
1096.2500,1.0147,89.9885,0.0824,0.2740,0.6020,318.5821,8.2475
1097.5000,1.1063,78.6381,0.0831,0.3234,0.6297,316.0914,7.9960
