distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
956.2500,0.2391,59.7136,0.0420,0.2029,0.6902,276.1854,9.1161
957.5000,0.2899,50.1704,0.0467,0.2474,0.7315,278.9984,8.5576
958.7500,0.3192,98.4567,0.0476,0.1420,0.5842,284.9825,9.8515
960.0000,0.3090,67.3642,0.0671,0.1417,0.6630,281.7753,9.0960
961.2500,0.2441,72.5776,0.0595,0.1253,0.6468,276.5450,9.5333
962.5000,0.2848,96.3004,0.0469,0.1287,0.5886,281.2990,9.9669
963.7500,0.3243,60.6840,0.0558,0.1919,0.6865,282.0554,8.8330
965.0000,0.2263,28.5858,0.0739,0.2457,0.8823,277.0822,7.5912
966.2500,0.2391,29.0845,0.1079,0.1799,0.8772,276.8232,7.5983
967.5000,0.2263,17.2087,0.1214,0.2621,1.0449,278.7136,6.6189
968.7500,0.1971,19.3359,0.1151,0.2098,1.0051,280.9847,6.8673
970.0000,0.2696,32.5302,0.0901,0.1940,0.8451,276.7238,7.7525
971.2500,0.2798,75.0830,0.0429,0.1791,0.6395,279.9415,9.4420
972.5000,0.2302,47.7913,0.0536,0.1898,0.7434,275.8960,8.6598
973.7500,0.2505,41.1975,0.0730,0.1778,0.7811,276.8619,8.2742
975.0000,0.2823,64.5965,0.0519,0.1848,0.6724,279.6176,9.1081
976.2500,0.2594,97.5091,0.0389,0.1409,0.5861,278.4001,10.1322
977.5000,0.2378,113.6052,0.0347,0.1213,0.5570,275.5447,10.6338
978.7500,0.2340,90.8609,0.0317,0.1620,0.6001,275.2379,10.1165
980.0000,0.2441,58.7312,0.0396,0.2108,0.6940,276.5856,9.0570
981.2500,0.2276,49.1304,0.0483,0.1917,0.7366,275.6944,8.7305
982.5000,0.2098,80.2660,0.0370,0.1467,0.6254,272.4800,9.9678
983.7500,0.2047,67.6233,0.0406,0.1583,0.6622,272.6408,9.5809
985.0000,0.1857,84.1478,0.0445,0.1064,0.6156,268.8809,10.2578
986.2500,0.2009,119.0408,0.0454,0.0771,0.5484,269.4384,11.0413
987.5000,0.2213,74.2736,0.0524,0.1205,0.6418,274.1076,9.7102
988.7500,0.2136,35.4367,0.0628,0.2096,0.8213,276.2992,8.0700
990.0000,0.1895,19.0236,0.0953,0.2504,1.0106,281.9194,6.8448
991.2500,0.1882,20.4383,0.0928,0.2419,0.9867,281.2804,6.9891
992.5000,0.2136,15.7084,0.0980,0.3277,1.0772,280.6581,6.4611
993.7500,0.2174,18.9624,0.0850,0.3099,1.0117,279.1862,6.8065
995.0000,0.2632,45.7557,0.0640,0.1863,0.7543,277.4715,8.4522
996.2500,0.2798,78.1591,0.0562,0.1359,0.6310,280.0745,9.5297
997.5000,0.2378,60.6219,0.0497,0.1689,0.6868,276.0708,9.1556
998.7500,0.2213,54.2523,0.0576,0.1563,0.7126,275.0134,8.9795
1000.0000,0.2403,86.8632,0.0477,0.1215,0.6092,276.0611,9.9713
1001.2500,0.2543,82.0769,0.0559,0.1145,0.6208,277.6356,9.7626
1002.5000,0.2696,70.6854,0.0682,0.1177,0.6525,278.8708,9.3549
1003.7500,0.2416,54.6462,0.0747,0.1353,0.7109,276.4290,8.9086
1005.0000,0.2798,17.8862,0.1613,0.2326,1.0316,273.8117,6.6492
1006.2500,0.4018,18.5311,0.1660,0.2994,1.0195,266.3824,6.6360
1007.5000,0.3484,16.0860,0.1501,0.3336,1.0687,267.3038,6.4425
1008.7500,0.2658,115.5177,0.0361,0.1273,0.5539,279.4652,10.4905
1010.0000,0.2276,152.6737,0.0285,0.1084,0.5048,273.5262,11.4589
1011.2500,0.3039,37.1495,0.1078,0.1674,0.8085,277.6731,7.9329
1012.5000,0.4260,66.5844,0.0868,0.1496,0.6656,288.7133,8.7271
1013.7500,0.3726,47.6506,0.0864,0.1893,0.7441,281.8350,8.2453
1015.0000,0.3370,59.8067,0.0610,0.1923,0.6899,282.6702,8.7653
1016.2500,0.3293,87.8510,0.0516,0.1485,0.6069,285.1757,9.5681
1017.5000,0.2645,71.2476,0.0648,0.1260,0.6508,278.4399,9.3949
1018.7500,0.2454,74.4288,0.0625,0.1127,0.6414,276.6690,9.5845
1020.0000,0.2441,50.6490,0.0558,0.1765,0.7292,276.6157,8.7330
1021.2500,0.3370,34.5695,0.1563,0.1432,0.8282,277.3900,7.7351
1022.5000,0.2925,15.0350,0.1966,0.2413,1.0931,271.5192,6.3537
1023.7500,0.2620,36.9568,0.0822,0.1798,0.8099,276.9911,8.0214
1025.0000,0.3421,98.1776,0.0430,0.1693,0.5848,287.1551,9.7470
1026.2500,0.3014,62.8720,0.0557,0.1751,0.6785,280.8413,8.9809
1027.5000,0.2823,85.5771,0.0465,0.1390,0.6122,280.6243,9.7172
1028.7500,0.3421,54.7536,0.0653,0.1975,0.7105,282.1293,8.5796
1030.0000,0.3230,46.9082,0.0784,0.1839,0.7480,279.9465,8.3328
1031.2500,0.2798,82.1374,0.0482,0.1448,0.6206,280.2364,9.6387
1032.5000,0.3599,69.1140,0.0601,0.1768,0.6574,285.4101,8.9782
1033.7500,0.3077,33.2438,0.1294,0.1448,0.8390,276.9005,7.7172
1035.0000,0.2327,43.4784,0.0846,0.1339,0.7672,276.1913,8.4454
1036.2500,0.2721,97.5811,0.0408,0.1427,0.5860,279.9075,10.0633
1037.5000,0.2976,133.8279,0.0501,0.0931,0.5274,284.0731,10.6401
1038.7500,0.2518,49.4512,0.0801,0.1421,0.7350,277.0339,8.6536
1040.0000,0.2391,45.6591,0.0708,0.1625,0.7548,276.4057,8.5282
1041.2500,0.2950,62.2222,0.0618,0.1657,0.6808,280.3571,8.9820
1042.5000,0.2518,35.4485,0.0751,0.2057,0.8213,276.7864,7.9637
1043.7500,0.2454,34.7166,0.0929,0.1689,0.8270,276.7116,7.9379
1045.0000,0.3637,38.4023,0.1159,0.1825,0.7996,278.9057,7.8751
1046.2500,0.4527,92.4130,0.0616,0.1625,0.5967,295.1351,9.2508
1047.5000,0.3573,88.5939,0.0540,0.1537,0.6052,287.6128,9.4778
1048.7500,0.2963,43.9256,0.1006,0.1469,0.7646,278.5503,8.2744
1050.0000,0.3929,57.6058,0.1043,0.1320,0.6985,285.0797,8.5446
1051.2500,0.4680,60.2858,0.0895,0.1882,0.6880,289.0168,8.4588
1052.5000,0.4323,39.2153,0.1285,0.1840,0.7941,280.2537,7.7966
1053.7500,0.4082,56.3186,0.1278,0.1238,0.7038,285.4352,8.4680
1055.0000,0.5036,65.1115,0.1048,0.1591,0.6706,291.9328,8.5173
1056.2500,0.4730,70.0747,0.0828,0.1779,0.6544,291.8914,8.7069
1057.5000,0.4285,70.6080,0.0723,0.1711,0.6527,289.7108,8.8268
1058.7500,0.4171,72.8675,0.0595,0.1851,0.6459,289.5140,8.9141
1060.0000,0.4654,66.3634,0.0678,0.2087,0.6663,290.5884,8.6296
1061.2500,0.4997,81.7062,0.0569,0.2205,0.6217,295.9708,8.9109
1062.5000,0.5086,34.7119,0.1055,0.3055,0.8270,278.3705,7.5024
1063.7500,0.5913,20.7084,0.1450,0.4326,0.9824,262.1947,6.7062
1065.0000,0.7375,17.4252,0.1528,0.5222,1.0406,250.7941,6.4470
1066.2500,0.7808,50.1923,0.1165,0.2561,0.7314,292.7366,7.7447
1067.5000,0.7032,81.3642,0.0914,0.1888,0.6226,305.1328,8.5161
1068.7500,0.7642,62.1404,0.1233,0.1980,0.6811,299.3432,8.0503
1070.0000,0.9969,68.0505,0.1420,0.2179,0.6608,308.0927,7.9249
1071.2500,1.2703,117.7582,0.1097,0.1985,0.5504,335.4873,8.2980
1072.5000,1.2424,197.0618,0.0645,0.2010,0.4636,351.7254,8.9069
1073.7500,0.9855,23.4664,0.1926,0.4027,0.9423,260.4855,6.7147
1075.0000,0.7426,38.9454,0.1129,0.3305,0.7959,283.3996,7.4440
1076.2500,0.8278,56.8970,0.0737,0.3838,0.7014,297.9506,7.8630
1077.5000,0.6574,69.6633,0.0868,0.2254,0.6557,299.3723,8.3572
1078.7500,0.4629,19.9295,0.0935,0.5048,0.9950,265.2791,6.7128
1080.0000,0.4273,42.7591,0.0860,0.2418,0.7715,281.6905,7.9500
1081.2500,0.5353,94.2173,0.0660,0.1811,0.5929,300.5574,9.0703
1082.5000,0.5582,113.9969,0.0700,0.1497,0.5564,305.4649,9.3371
1083.7500,0.6523,70.2830,0.0868,0.2221,0.6537,299.4218,8.3782
1085.0000,0.6409,56.7376,0.0888,0.2660,0.7021,293.3975,8.0764
1086.2500,0.5659,50.1558,0.0700,0.3219,0.7315,288.2550,7.9943
1087.5000,0.5633,94.0094,0.0479,0.2439,0.5933,302.0743,9.0024
1088.7500,0.6015,103.4095,0.0567,0.2104,0.5748,306.0892,9.0743
1090.0000,0.6218,95.1395,0.0541,0.2461,0.5910,305.3615,8.8985
1091.2500,0.6485,73.0694,0.0680,0.2594,0.6453,300.2743,8.4427
1092.5000,0.7884,69.3201,0.0873,0.2683,0.6567,303.4051,8.1708
1093.7500,0.8113,56.8520,0.0923,0.3194,0.7016,297.5710,7.8788
1095.0000,0.5837,37.1470,0.1087,0.3157,0.8085,280.6192,7.5235
1096.2500,0.5061,262.7612,0.0261,0.1480,0.4212,313.8498,11.0050
1097.5000,0.5112,128.4517,0.0469,0.1741,0.5347,304.3023,9.6736
1098.7500,0.5277,85.0508,0.0572,0.2293,0.6135,298.2137,8.9149
