distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
58.7500,0.1953,9902.5760,0.0007,0.0594,0.1256,256.6253,24.5274
60.0000,0.1791,13294.3713,0.0011,0.0255,0.1139,248.6376,26.1910
61.2500,0.1684,72319.9599,0.0002,0.0193,0.0648,240.8828,31.4871
62.5000,0.1616,90778.5744,0.0002,0.0186,0.0600,236.7798,32.5925
63.7500,0.1576,166729.0958,0.0001,0.0145,0.0490,233.7762,34.3435
65.0000,0.1549,228393.7099,0.0001,0.0143,0.0441,231.8386,35.2739
66.2500,0.1536,175018.4734,0.0001,0.0148,0.0482,231.2239,34.8530
67.5000,0.1522,199062.9333,0.0001,0.0122,0.0462,230.2549,35.2699
68.7500,0.1522,136987.0835,0.0002,0.0108,0.0523,230.6110,34.4424
70.0000,0.1482,185685.7075,0.0001,0.0117,0.0473,227.7148,35.5532
71.2500,0.1482,286418.3332,0.0001,0.0113,0.0409,227.3245,36.4662
72.5000,0.1441,171268.7091,0.0001,0.0120,0.0486,225.1233,35.8214
73.7500,0.1414,202310.1415,0.0001,0.0138,0.0460,223.1251,36.5132
75.0000,0.1387,301429.7597,0.0001,0.0129,0.0402,220.8650,37.7127
76.2500,0.1387,353859.2737,0.0001,0.0123,0.0381,220.7198,38.0427
77.5000,0.1374,446940.2123,0.0001,0.0111,0.0353,219.5638,38.6825
78.7500,0.1374,325649.0766,0.0001,0.0127,0.0392,219.8407,38.0486
80.0000,0.1387,169670.1841,0.0001,0.0142,0.0487,221.4540,36.4295
81.2500,0.1401,395488.9634,0.0001,0.0078,0.0368,221.5706,38.0888
82.5000,0.1401,367694.8461,0.0001,0.0080,0.0377,221.6322,37.9452
83.7500,0.1387,215454.6993,0.0001,0.0103,0.0450,221.1954,36.9823
85.0000,0.1374,236290.2240,0.0001,0.0090,0.0436,220.1527,37.3583
86.2500,0.1374,251304.6763,0.0001,0.0081,0.0428,220.0902,37.4947
87.5000,0.1374,253642.2101,0.0001,0.0086,0.0426,220.0809,37.5150
88.7500,0.1374,305563.7697,0.0001,0.0087,0.0401,219.9000,37.9155
90.0000,0.1360,381811.5391,0.0001,0.0087,0.0372,218.7327,38.5540
91.2500,0.1360,430894.3030,0.0001,0.0090,0.0357,218.6274,38.7946
92.5000,0.1374,331322.1423,0.0001,0.0108,0.0390,219.8248,38.0844
93.7500,0.1360,231077.1292,0.0001,0.0101,0.0440,219.2186,37.4806
95.0000,0.1360,390770.8687,0.0001,0.0087,0.0369,218.7122,38.6006
96.2500,0.1347,431451.1429,0.0001,0.0082,0.0357,217.6497,38.9833
97.5000,0.1334,394928.3018,0.0001,0.0085,0.0368,216.7425,38.9942
98.7500,0.1320,511064.1317,0.0001,0.0086,0.0337,215.5192,39.6991
100.0000,0.1307,602338.2744,0.0001,0.0080,0.0319,214.3724,40.2123
101.2500,0.1307,595403.8857,0.0001,0.0082,0.0321,214.3819,40.1905
102.5000,0.1320,260486.4092,0.0001,0.0116,0.0422,216.1597,38.2884
103.7500,0.1347,428568.4919,0.0001,0.0104,0.0358,217.6555,38.9700
105.0000,0.1347,405953.4728,0.0001,0.0100,0.0364,217.7031,38.8619
106.2500,0.1347,267753.5705,0.0001,0.0117,0.0419,218.0984,37.9858
107.5000,0.1374,202724.3865,0.0001,0.0129,0.0459,220.3140,37.0111
108.7500,0.1387,192184.6384,0.0001,0.0129,0.0467,221.3166,36.7213
110.0000,0.1414,191517.7374,0.0001,0.0131,0.0468,223.1819,36.3891
111.2500,0.1414,270448.4026,0.0001,0.0124,0.0417,222.8412,37.1464
112.5000,0.1401,284780.8583,0.0001,0.0110,0.0410,221.8604,37.4225
113.7500,0.1387,343960.9121,0.0001,0.0099,0.0385,220.7449,37.9852
115.0000,0.1374,325620.3712,0.0001,0.0097,0.0392,219.8408,38.0484
116.2500,0.1374,347373.3688,0.0001,0.0101,0.0384,219.7818,38.1817
117.5000,0.1374,295192.6300,0.0001,0.0111,0.0405,219.9327,37.8425
118.7500,0.1374,239680.2245,0.0001,0.0121,0.0434,220.1381,37.3900
120.0000,0.1374,244256.7903,0.0001,0.0120,0.0432,220.1189,37.4319
121.2500,0.1360,265748.0679,0.0001,0.0112,0.0420,219.0751,37.7916
122.5000,0.1360,232340.4603,0.0001,0.0120,0.0439,219.2129,37.4929
123.7500,0.1347,186941.6390,0.0001,0.0154,0.0472,218.4866,37.1620
125.0000,0.1374,115712.2414,0.0002,0.0151,0.0554,220.9795,35.6420
126.2500,0.1401,75515.5140,0.0002,0.0212,0.0638,223.4159,34.2029
127.5000,0.1468,33020.0303,0.0005,0.0194,0.0841,229.1305,31.1561
128.7500,0.1549,49911.3131,0.0003,0.0182,0.0733,233.4697,31.6470
130.0000,0.1589,114448.3965,0.0002,0.0155,0.0556,234.9440,33.3774
131.2500,0.1616,110151.5818,0.0002,0.0142,0.0563,236.5893,33.0446
132.5000,0.1630,94148.4587,0.0002,0.0152,0.0593,237.5337,32.5616
133.7500,0.1603,54923.2787,0.0003,0.0184,0.0710,236.5506,31.4498
135.0000,0.1563,62370.6009,0.0003,0.0188,0.0680,233.9919,32.1263
136.2500,0.1536,153962.4218,0.0002,0.0125,0.0503,231.3440,34.5709
137.5000,0.1522,136304.1314,0.0002,0.0148,0.0524,230.6161,34.4309
138.7500,0.1522,71558.4154,0.0002,0.0204,0.0650,231.3459,32.8497
140.0000,0.1509,134284.2826,0.0001,0.0150,0.0527,229.7772,34.5334
141.2500,0.1536,95436.8143,0.0002,0.0175,0.0590,231.8402,33.4509
142.5000,0.1576,83578.8339,0.0002,0.0193,0.0617,234.4600,32.7504
143.7500,0.1603,129198.3386,0.0001,0.0189,0.0534,235.6378,33.5282
145.0000,0.1630,53125.6344,0.0002,0.0291,0.0718,238.1546,31.1438
146.2500,0.1657,37490.9666,0.0003,0.0343,0.0806,240.1148,30.0074
147.5000,0.1697,22746.9332,0.0004,0.0354,0.0952,243.0049,28.3252
148.7500,0.1765,17963.0921,0.0004,0.0506,0.1030,246.8570,27.2252
150.0000,0.1778,35944.1751,0.0003,0.0365,0.0817,246.7062,29.0493
151.2500,0.1791,57090.4333,0.0002,0.0260,0.0701,246.9566,30.1162
152.5000,0.1818,26742.9340,0.0003,0.0520,0.0902,249.0959,28.0117
153.7500,0.1832,30969.4826,0.0003,0.0448,0.0859,249.6180,28.3178
155.0000,0.1832,35112.4682,0.0003,0.0397,0.0824,249.4924,28.6425
156.2500,0.1818,40421.1693,0.0003,0.0326,0.0786,248.6717,29.0859
157.5000,0.1818,46575.6409,0.0002,0.0314,0.0750,248.5392,29.4385
158.7500,0.1818,37011.7829,0.0003,0.0360,0.0810,248.7574,28.8625
160.0000,0.1805,48551.0190,0.0002,0.0309,0.0740,247.8062,29.6305
161.2500,0.1805,74722.9989,0.0002,0.0226,0.0641,247.4354,30.6496
162.5000,0.1805,16241.2307,0.0004,0.0497,0.1065,249.0264,26.7020
163.7500,0.1791,12234.1185,0.0005,0.0616,0.1171,248.7603,25.9435
165.0000,0.1805,49000.6925,0.0003,0.0257,0.0737,247.7977,29.6532
166.2500,0.1832,55955.6571,0.0002,0.0264,0.0705,249.0697,29.7915
167.5000,0.1845,72812.5238,0.0002,0.0212,0.0646,249.5517,30.3073
168.7500,0.1872,34926.9205,0.0003,0.0342,0.0825,251.5152,28.3800
170.0000,0.1926,25549.7814,0.0004,0.0397,0.0916,254.4068,27.2682
171.2500,0.1926,37375.7970,0.0003,0.0304,0.0807,254.0842,28.2271
172.5000,0.1886,22579.0619,0.0004,0.0454,0.0954,252.5934,27.1663
173.7500,0.1886,16482.5940,0.0004,0.0588,0.1060,252.9328,26.3050
175.0000,0.1886,22956.1305,0.0003,0.0513,0.0949,252.5765,27.2107
176.2500,0.1859,31757.3540,0.0003,0.0335,0.0852,250.9377,28.2189
177.5000,0.1818,71891.1702,0.0002,0.0244,0.0649,248.1699,30.4662
178.7500,0.1818,48741.0194,0.0003,0.0292,0.0739,248.4979,29.5498
180.0000,0.1872,23450.1094,0.0005,0.0317,0.0943,251.9022,27.3435
181.2500,0.1913,40809.1354,0.0003,0.0288,0.0784,253.3628,28.5211
182.5000,0.1940,18345.8714,0.0005,0.0422,0.1023,255.3508,26.3188
183.7500,0.2007,25230.1479,0.0005,0.0343,0.0920,258.1719,26.8041
185.0000,0.1994,30661.3743,0.0003,0.0377,0.0862,257.4098,27.3618
186.2500,0.1953,41020.9841,0.0003,0.0374,0.0782,255.3029,28.2944
187.5000,0.1940,22842.3406,0.0004,0.0446,0.0951,255.1437,26.9027
188.7500,0.1886,16782.9503,0.0004,0.0507,0.1054,252.9123,26.3554
190.0000,0.1899,14181.7771,0.0005,0.0503,0.1115,253.7411,25.8128
191.2500,0.1940,27092.2121,0.0004,0.0404,0.0898,254.9926,27.3449
192.5000,0.1953,23743.0826,0.0004,0.0439,0.0939,255.7391,26.9317
193.7500,0.1926,11706.1843,0.0005,0.0667,0.1188,255.2119,25.1340
195.0000,0.1872,20221.1318,0.0004,0.0510,0.0990,252.0597,26.9426
196.2500,0.1832,15910.0910,0.0004,0.0558,0.1073,250.3795,26.4939
197.5000,0.1778,18869.0380,0.0003,0.0550,0.1013,247.4756,27.2872
198.7500,0.1805,23417.7174,0.0004,0.0419,0.0943,248.5682,27.7324
200.0000,0.1886,18974.8655,0.0004,0.0476,0.1011,252.7765,26.6948
201.2500,0.1967,19875.5007,0.0005,0.0411,0.0996,256.5204,26.3948
202.5000,0.2047,19117.7441,0.0005,0.0449,0.1009,260.1901,25.8930
203.7500,0.2088,22836.6468,0.0004,0.0483,0.0951,261.8389,26.1513
205.0000,0.2047,18755.4065,0.0005,0.0466,0.1015,260.2044,25.8433
206.2500,0.2034,21246.0177,0.0004,0.0435,0.0974,259.5142,26.2305
207.5000,0.2047,7812.3355,0.0007,0.0706,0.1360,260.9681,23.4436
208.7500,0.1994,6394.3551,0.0009,0.0736,0.1453,258.9132,23.0739
210.0000,0.1940,9251.9923,0.0007,0.0612,0.1285,256.1042,24.3905
211.2500,0.1872,8637.8667,0.0009,0.0509,0.1315,253.1315,24.4949
212.5000,0.1845,8957.3620,0.0007,0.0632,0.1299,251.8222,24.7318
213.7500,0.1913,10471.0618,0.0009,0.0421,0.1233,254.7307,24.8756
215.0000,0.1953,14928.4375,0.0005,0.0499,0.1096,256.1772,25.6879
216.2500,0.1940,24448.6807,0.0004,0.0414,0.0930,255.0825,27.0801
217.5000,0.1872,23665.8955,0.0005,0.0329,0.0940,251.8927,27.3680
218.7500,0.1791,39394.8564,0.0003,0.0296,0.0793,247.3104,29.1970
220.0000,0.1751,41989.5430,0.0003,0.0332,0.0776,245.1231,29.6335
221.2500,0.1738,28822.8060,0.0003,0.0420,0.0880,244.8407,28.7252
222.5000,0.1765,29630.2823,0.0003,0.0361,0.0872,246.2208,28.6247
223.7500,0.1805,49473.7995,0.0002,0.0309,0.0735,247.7889,29.6767
225.0000,0.1818,44434.2648,0.0002,0.0332,0.0762,248.5825,29.3223
226.2500,0.1818,59272.5871,0.0002,0.0278,0.0692,248.3275,30.0190
227.5000,0.1818,87794.0429,0.0002,0.0221,0.0607,248.0171,30.9125
228.7500,0.1818,67274.1035,0.0002,0.0256,0.0663,248.2230,30.3142
230.0000,0.1805,43765.0103,0.0002,0.0331,0.0766,247.9037,29.3736
231.2500,0.1791,40662.7246,0.0003,0.0352,0.0785,247.2785,29.2777
232.5000,0.1818,48215.4840,0.0002,0.0330,0.0741,248.5077,29.5233
233.7500,0.1818,60188.5438,0.0002,0.0303,0.0688,248.3146,30.0551
235.0000,0.1791,27919.6484,0.0003,0.0417,0.0889,247.6803,28.2933
236.2500,0.1765,15108.3820,0.0004,0.0580,0.1091,247.1029,26.7197
237.5000,0.1765,19697.7631,0.0004,0.0489,0.0999,246.7317,27.4901
238.7500,0.1738,34098.4628,0.0004,0.0263,0.0832,244.6391,29.1800
240.0000,0.1697,73118.7571,0.0002,0.0262,0.0645,241.6261,31.4071
241.2500,0.1724,30686.9175,0.0003,0.0336,0.0862,244.0480,28.9862
242.5000,0.1791,27864.7489,0.0004,0.0344,0.0890,247.6826,28.2880
243.7500,0.1805,19901.1351,0.0004,0.0481,0.0996,248.7651,27.2803
245.0000,0.1778,22838.2852,0.0003,0.0479,0.0951,247.2302,27.8259
246.2500,0.1778,40680.0533,0.0003,0.0336,0.0784,246.5764,29.3688
247.5000,0.1765,28043.5669,0.0003,0.0397,0.0888,246.2857,28.4756
248.7500,0.1765,27145.9388,0.0003,0.0462,0.0898,246.3246,28.3868
250.0000,0.1738,24105.2302,0.0004,0.0380,0.0934,245.0679,28.2292
251.2500,0.1724,25267.9703,0.0003,0.0494,0.0919,244.2960,28.4483
252.5000,0.1697,21178.4723,0.0003,0.0490,0.0975,243.1079,28.1185
253.7500,0.1670,57679.9693,0.0002,0.0335,0.0698,240.3603,31.0355
255.0000,0.1643,45886.0481,0.0003,0.0246,0.0754,239.1017,30.6526
256.2500,0.1589,52709.3964,0.0002,0.0278,0.0720,235.8102,31.4527
257.5000,0.1563,60111.9215,0.0002,0.0240,0.0689,234.0381,32.0295
258.7500,0.1536,73190.1602,0.0002,0.0201,0.0645,232.1516,32.7834
260.0000,0.1522,64706.9574,0.0002,0.0217,0.0672,231.4748,32.5852
261.2500,0.1482,50838.5608,0.0003,0.0188,0.0728,229.2819,32.2975
262.5000,0.1468,61266.6641,0.0003,0.0188,0.0684,228.1523,32.9441
263.7500,0.1509,36197.3466,0.0003,0.0283,0.0816,231.4859,31.0821
265.0000,0.1522,37765.9276,0.0003,0.0321,0.0804,232.2424,31.0916
266.2500,0.1522,38971.4849,0.0002,0.0341,0.0796,232.1937,31.1823
267.5000,0.1495,33965.7958,0.0003,0.0347,0.0833,230.7609,31.0086
268.7500,0.1509,27307.0440,0.0003,0.0382,0.0896,231.9613,30.2385
270.0000,0.1549,19235.4416,0.0004,0.0384,0.1007,235.0044,28.8437
271.2500,0.1603,31057.6701,0.0003,0.0402,0.0858,237.3205,29.8831
272.5000,0.1616,44573.2768,0.0002,0.0348,0.0761,237.5961,30.7854
