# Exported by snowmicropyn 1.2.1 (git hash 25c665906cd9d26085fa9eab6ba842a7f4b41101)
distance [mm],force [N]
3.8099,0.1105
3.8140,0.1118
3.8182,0.1105
3.8223,0.1118
3.8264,0.1105
3.8306,0.1131
3.8347,0.1091
3.8388,0.1105
3.8430,0.1145
3.8471,0.1118
3.8512,0.1131
3.8554,0.1091
3.8595,0.1105
3.8636,0.1105
3.8678,0.1118
3.8719,0.1105
3.8760,0.1091
3.8802,0.1118
3.8843,0.1091
3.8884,0.1131
3.8926,0.1118
3.8967,0.1091
3.9008,0.1118
3.9050,0.1091
3.9091,0.1105
3.9132,0.1105
3.9174,0.1091
3.9215,0.1118
3.9256,0.1064
3.9298,0.1118
3.9339,0.1105
3.9380,0.1078
3.9421,0.1078
3.9463,0.1105
3.9504,0.1091
3.9545,0.1064
3.9587,0.1131
3.9628,0.1064
3.9669,0.1091
3.9711,0.1131
3.9752,0.1078
3.9793,0.1145
3.9835,0.1118
3.9876,0.1118
3.9917,0.1118
3.9959,0.1078
4.0000,0.1131
4.0041,0.1091
4.0083,0.1091
4.0124,0.1172
4.0165,0.1105
4.0207,0.1105
4.0248,0.1131
4.0289,0.1091
4.0331,0.1105
4.0372,0.1158
4.0413,0.1091
4.0455,0.1091
4.0496,0.1158
4.0537,0.1091
4.0579,0.1131
4.0620,0.1118
4.0661,0.1091
4.0702,0.1105
4.0744,0.1131
4.0785,0.1105
4.0826,0.1105
4.0868,0.1105
4.0909,0.1078
4.0950,0.1118
4.0992,0.1118
4.1033,0.1105
4.1074,0.1078
4.1116,0.1091
4.1157,0.1118
4.1198,0.1105
4.1240,0.1105
4.1281,0.1131
4.1322,0.1078
4.1364,0.1118
4.1405,0.1105
4.1446,0.1118
4.1488,0.1131
4.1529,0.1118
4.1570,0.1145
4.1612,0.1091
4.1653,0.1145
4.1694,0.1118
4.1736,0.1118
4.1777,0.1091
4.1818,0.1105
4.1860,0.1118
4.1901,0.1091
4.1942,0.1145
4.1983,0.1118
4.2025,0.1105
4.2066,0.1118
4.2107,0.1131
4.2149,0.1105
4.2190,0.1091
4.2231,0.1131
4.2273,0.1091
4.2314,0.1118
4.2355,0.1118
4.2397,0.1105
4.2438,0.1105
4.2479,0.1078
4.2521,0.1091
4.2562,0.1078
4.2603,0.1118
4.2645,0.1118
4.2686,0.1118
4.2727,0.1158
4.2769,0.1105
4.2810,0.1131
4.2851,0.1118
4.2893,0.1105
4.2934,0.1118
4.2975,0.1091
4.3017,0.1105
4.3058,0.1091
4.3099,0.1131
4.3140,0.1105
4.3182,0.1091
4.3223,0.1105
4.3264,0.1064
4.3306,0.1118
4.3347,0.1078
4.3388,0.1091
4.3430,0.1105
4.3471,0.1078
4.3512,0.1091
4.3554,0.1091
4.3595,0.1091
4.3636,0.1105
4.3678,0.1118
4.3719,0.1105
4.3760,0.1091
4.3802,0.1131
4.3843,0.1105
4.3884,0.1131
4.3926,0.1145
4.3967,0.1091
4.4008,0.1145
4.4050,0.1145
4.4091,0.1118
4.4132,0.1131
4.4174,0.1105
4.4215,0.1078
4.4256,0.1091
4.4298,0.1131
4.4339,0.1078
4.4380,0.1105
4.4421,0.1091
4.4463,0.1118
4.4504,0.1118
4.4545,0.1118
4.4587,0.1037
4.4628,0.1118
4.4669,0.1078
4.4711,0.1105
4.4752,0.1131
4.4793,0.1078
4.4835,0.1105
4.4876,0.1091
4.4917,0.1105
4.4959,0.1105
4.5000,0.1051
4.5041,0.1118
4.5083,0.1105
4.5124,0.1118
4.5165,0.1105
4.5207,0.1105
4.5248,0.1118
4.5289,0.1091
4.5331,0.1105
4.5372,0.1118
4.5413,0.1091
4.5455,0.1118
4.5496,0.1091
4.5537,0.1118
4.5579,0.1118
4.5620,0.1078
4.5661,0.1091
4.5702,0.1131
4.5744,0.1064
4.5785,0.1118
4.5826,0.1091
4.5868,0.1118
4.5909,0.1131
4.5950,0.1131
